length,org:resource|first|literal,trace:case_type|first|literal,trace:SUMleges|first|continuous,trace:Responsible_actor|first|literal,monitoringResource|first|literal,Label,Case_ID
47,560532,557669,3338.28,560519,560532,1,G1
53,560532,557669,474.1875,560521,560532,1,Fk
55,560532,557669,128.136,560519,560519,1,GU
31,560532,557669,0.0,560521,560532,1,GJ
59,560532,557669,455.22,560521,560532,1,Ev
13,560519,557669,0.0,560519,560530,1,DZ
43,560530,557669,1814.5575,560521,560530,1,E
55,560532,557669,0.0,4634935,560532,1,Ex
43,560532,557669,0.0,560521,560521,1,Ha
91,560532,557669,0.0,4634935,4634935,1,NI
89,560532,557669,0.0,4634935,560530,1,Cm
55,560532,557669,129.822,560519,560519,1,Gn
69,560532,557669,2411.6797,560519,560532,1,Ca
63,560532,557669,4540.398,560521,560532,1,HA
80,560532,557669,13647.445,4634935,560458,1,Mh
41,560532,557669,613.32465,560519,560519,1,U
68,560532,557669,2803.7505,560519,560532,1,CM
36,560532,557669,0.0,560598,560532,1,DL
56,560532,557669,2030.5763,560521,560521,1,K
61,560530,557669,330.456,560519,560519,1,EE
61,560530,557669,0.0,560530,560530,1,Dj
62,560458,557669,724.14545,560521,560521,1,I
28,560530,557669,0.0,4634935,560458,1,ME
55,560532,557669,129.822,560519,560519,1,F1
59,560532,557669,144.996,560530,560530,1,D2
109,560532,557669,13112.443,560519,560532,1,Fc
62,560530,557669,87.672,560521,560521,1,Cs
27,560458,557669,0.0,560521,560458,1,BI
21,560532,557669,0.0,560458,560458,1,J4
41,560530,557669,27.819,560458,560458,1,MV
73,560530,557669,206.535,560521,560530,1,Be
100,560532,557669,20198.28,560519,560519,1,CJ
89,560530,557669,8473.836,560521,4634935,1,CP
64,22445896,557669,273.132,560521,560521,1,Gi
45,560530,557669,0.0,560458,560458,1,P
69,560458,557669,206.535,560521,560521,1,Mu
67,4634935,557669,17549.305,4634935,4634935,1,NU
17,560530,557669,0.0,560521,560458,1,Mn
59,560530,557669,1686.8514,560519,560519,1,CR
50,560532,557669,0.0,560521,560521,1,EN
84,560532,557669,0.0,4634935,4634935,1,M5
62,560532,557669,143.31,560519,560519,1,o
82,560532,557669,0.0,4634935,4634935,1,NY
61,560530,557669,350.688,560519,560519,1,Dg
44,560530,557669,2216.247,560521,560458,1,MH
85,560530,557669,3841.551,560521,4634935,1,DC
78,560532,557669,0.0,4634935,560458,1,MN
52,560530,557669,0.0,560458,560458,1,BD
37,560530,557669,1009.3239,560519,560458,1,M1
55,22445896,557669,1877.7825,560521,560532,1,GN
44,560530,557669,4672.791,560521,560458,1,Mc
60,22445896,557669,289.992,560521,22445896,1,G2
61,560530,557669,330.456,560519,560519,1,Di
59,560532,557669,350.688,560521,560532,1,EI
65,560530,557669,2893.176,560519,560530,1,DD
67,560530,557669,13976.274,560519,560519,1,C9
65,560530,557669,63.225,560519,560519,1,C6
