Dataset,IA,MR,TR,MRA,TRA,Declare,H,Data,DeclD,Data+IA,Data+MR,Data+MRA,Data+TR,Data+TRA,Data+Declare,Data+DeclD,Data+H,H+DeclD,H+Data+DeclD
traffic_decl3,0.8938622061130406,0.9949457592871148,0.8939083628379662,0.9991119864325182,0.8939083628379662,1.0,1.0,0.8838084979952809,0.9986714699910006,0.9122104389825981,0.9973350638538154,0.9997045790251107,0.9122104389825981,0.9122104389825981,1.0,1.0,1.0,1.0,1.0
traffic_mr_tr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998480884441182,1.0,0.9999746771334515,1.0,0.9999239543726237,1.0,0.999949341435453,1.0,1.0,1.0,1.0,1.0
traffic_mra_tra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999856548557575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
traffic_payload_Art157,0.4982057800408991,0.506229574020341,0.49819881391035803,0.5043603577770329,0.49819881391035803,0.5367946492008534,0.8467923784647245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
traffic_payload_Pay36,0.26721733336622,0.26714377246175774,0.2672197480984856,0.26711670097679185,0.2672197480984856,0.2670484304280497,0.9454807378677849,0.9998612074947953,0.999722510972511,0.9998612074947953,0.9998612074947953,0.9998612074947953,0.9998612074947953,0.9998612074947953,0.9997224148559101,0.9998613998613998,0.9997224148559101,0.9998613998613998,0.9998613998613998
sepsis_decl,0.9071721595554905,0.9554867816573767,0.9133643987223801,0.9848924266732485,0.9068954952197054,0.9930697977821266,0.997221686282076,0.7886964357858324,0.9629156072379159,0.9089918179613186,0.9609069204042244,0.982111519005017,0.9157173992066141,0.906584744837231,0.9985915492957746,0.997221686282076,0.9985915492957746,0.9985915492957746,0.997221686282076
sepsis_mr_tr,0.5953433169311635,1.0,1.0,0.8712320173566184,0.9803201184780133,0.8547921517370058,1.0,0.5784746565924677,0.6630153458655341,0.592976975606265,1.0,0.8602860493723545,1.0,0.9803201184780133,0.9577432514739016,0.9575150850626375,1.0,1.0,1.0
sepsis_mra_tra,0.9963963963963962,0.9990990990990991,0.9990990990990991,0.9990990990990991,0.9962953607813422,0.9917086811582225,0.9926262626262627,0.9729010202852315,0.9680681008662658,0.9981816679064386,0.9981816679064386,0.9972642367137781,0.9990990990990991,0.9981816679064386,0.9935606832854539,0.9944614339109753,0.9926262626262627,0.9944614339109753,0.9944614339109753
sepsis_payload2,0.26949938949938945,0.2561890302679776,0.248929520771626,0.24630252100840333,0.22018437358994633,0.25984848484848483,0.8343101343101343,0.8910489510489512,0.9446153846153846,0.9087712287712287,0.9283516483516484,0.9193772893772895,0.9283516483516484,0.9192607392607393,0.9923076923076923,0.9923076923076923,0.9923076923076923,0.9755244755244755,0.9741258741258741
bpi11_decl,0.7375146917633104,0.7523667035656944,0.7313402423761409,0.7395720506178668,0.7295818637626899,1.0,1.0,0.6187631199797381,0.6885081674671206,0.7391530012108631,0.6781924276760424,0.6721029469407294,0.7061542433964302,0.7312014860688577,1.0,1.0,1.0,1.0,1.0
bpi11_mr_tr,0.5027673183339713,1.0,0.5386881419234361,1.0,0.5960426811683764,0.6917221358762942,1.0,0.4543656433168133,0.4483326736664006,0.5304443603790918,1.0,1.0,0.5338013176242489,0.5459676490075764,0.9278205659075225,0.9470621938448026,1.0,1.0,1.0
bpi11_mra_tra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9579052051152486,0.9984496124031008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi11_payload_M13,0.4922806981082763,0.4907942224767209,0.5074620174983958,0.5107141816827343,0.5106317350525116,0.5130488845880947,0.9026452142283411,0.7096307092558505,0.7406706621671703,0.7173503690105241,0.7231492115393043,0.7195515203358095,0.7394969113390165,0.7196776622204443,0.9390422490229934,0.9490791942332377,0.954058871253993,0.9293757063076702,0.9511268556005398
bpi11_payload_T101,0.7392440351785219,0.805589504133445,0.7947249854164748,0.7654114232453211,0.7767265704713238,0.7694859979806841,0.951932213182922,0.9101793020114062,0.7823299212545503,0.9099839678082496,0.8982876074146933,0.9094687027421301,0.9100715613741042,0.908944692237375,0.9856945474642582,0.990345710254956,0.990345710254956,0.9496024707000317,0.990345710254956
bpi12_decl2,0.7833445956339029,0.8767077998607133,0.7842149326200802,0.93074338100063,0.7842149326200802,1.0,1.0,0.45237748129508615,1.0,0.7838123277466719,0.8758236682290473,0.933020436493182,0.783372369456668,0.7827132156259424,1.0,1.0,1.0,1.0,1.0
bpi12_mr_tr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6766274029370791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi12_mra_tra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5918557258239868,0.999601593625498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bpi12_payload_6500,0.019028951326125167,0.026800452754719668,0.019342897452846612,0.014125366287511052,0.017874589109077042,0.01903644677241122,0.81633212094419,0.9962962962962962,1.0,0.9960000000000001,0.9960000000000001,0.9960000000000001,0.9960000000000001,0.9960000000000001,0.9879999999999999,1.0,0.9879999999999999,0.9857142857142858,1.0
bpi12_payload_45000,0.013098791241073809,0.0096355343214937,0.011482346005568642,0.02026097702949835,0.01157314124567502,0.007574422356294441,0.7899392274392274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856410256410257,1.0,0.9856410256410257,1.0,1.0
bpi15A_decl2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8392681839061163,0.9956051956896207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
