timestamp,Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2,Prec_fold3,Rec_fold3,F1_fold3,AUC_fold3,Prec_fold4,Rec_fold4,F1_fold4,AUC_fold4,Prec_fold5,Rec_fold5,F1_fold5,AUC_fold5,Prec_fold6,Rec_fold6,F1_fold6,AUC_fold6,Prec_fold7,Rec_fold7,F1_fold7,AUC_fold7,Prec_fold8,Rec_fold8,F1_fold8,AUC_fold8,Prec_fold9,Rec_fold9,F1_fold9,AUC_fold9
2022-09-08 16:36:59.261327,ripperK,bpi15A,decl2,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:38:18.736568,ripperK,bpi15A,decl2,mr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:39:35.444763,ripperK,bpi15A,decl2,mra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:40:49.698053,ripperK,bpi15A,decl2,tr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:42:05.483599,ripperK,bpi15A,decl2,tra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 22:25:17.226469,ripperK,bpi15A,decl2,declare,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 05:13:28.905357,ripperK,bpi15A,decl2,hybrid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 05:13:54.050943,ripperK,bpi15A,decl2,payload,0.8,0.7,0.746666666666667,0.32515625,0.714285714285714,0.5625,0.629370629370629,0.4178125,0.724770642201835,0.9875,0.835978835978836,0.50734375,0.823529411764706,0.7,0.756756756756757,0.31671875,0.67741935483871,0.531645569620253,0.595744680851064,0.499382525470824,0.712962962962963,0.974683544303797,0.823529411764706,0.418802099413399,0.867924528301887,0.582278481012658,0.696969696969697,0.295307193578265,0.853658536585366,0.443037974683544,0.583333333333333,0.357672121025008,0.766666666666667,0.582278481012658,0.661870503597122,0.370021611608521,0.710843373493976,0.746835443037975,0.728395061728395,0.481487341772152
2022-09-09 05:14:25.343029,ripperK,bpi15A,decl2,dwd,1,1,1,1,0.987654320987654,1,0.993788819875776,0.99953125,1,1,1,1,0.9875,0.9875,0.9875,0.99046875,1,1,1,1,1,1,1,1,1,0.987341772151899,0.993630573248408,0.993670886075949,0.9875,1,0.993710691823899,0.995986415560358,0.9875,1,0.993710691823899,0.999845631367706,1,1,1,1
2022-09-09 05:15:36.650929,ripperK,bpi15A,decl2,bs_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 05:17:22.632034,ripperK,bpi15A,decl2,mr_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 05:19:25.187432,ripperK,bpi15A,decl2,mra_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 05:21:14.951389,ripperK,bpi15A,decl2,tr_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 05:23:04.694536,ripperK,bpi15A,decl2,tra_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 10:59:11.156470,ripperK,bpi15A,decl2,dc_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 18:14:25.928391,ripperK,bpi15A,decl2,dc_dwd_payload,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
