timestamp,Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2,Prec_fold3,Rec_fold3,F1_fold3,AUC_fold3,Prec_fold4,Rec_fold4,F1_fold4,AUC_fold4,Prec_fold5,Rec_fold5,F1_fold5,AUC_fold5,Prec_fold6,Rec_fold6,F1_fold6,AUC_fold6,Prec_fold7,Rec_fold7,F1_fold7,AUC_fold7,Prec_fold8,Rec_fold8,F1_fold8,AUC_fold8,Prec_fold9,Rec_fold9,F1_fold9,AUC_fold9
2022-09-08 16:36:48.776701,ripperK,bpi15B,decl2,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:37:51.943699,ripperK,bpi15B,decl2,mr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:38:57.239854,ripperK,bpi15B,decl2,mra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:40:00.556251,ripperK,bpi15B,decl2,tr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:40:58.765739,ripperK,bpi15B,decl2,tra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 02:41:50.787707,ripperK,bpi15B,decl2,declare,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:40:33.470494,ripperK,bpi15B,decl2,hybrid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:40:52.251856,ripperK,bpi15B,decl2,payload,0.962962962962963,0.88135593220339,0.920353982300885,0.49728813559322,0.961538461538462,0.847457627118644,0.900900900900901,0.478305084745763,0.964285714285714,0.915254237288135,0.939130434782609,0.498234463276836,0.948275862068966,0.932203389830508,0.94017094017094,0.730932203389831,0.981132075471698,0.88135593220339,0.928571428571429,0.093926553672316,1,0.864406779661017,0.927272727272727,0.474576271186441,0.945454545454545,0.88135593220339,0.912280701754386,0.689618644067797,1,0.949152542372881,0.973913043478261,0.432203389830509,1,0.864406779661017,0.927272727272727,0.542372881355932,0.964285714285714,0.915254237288135,0.939130434782609,0.728107344632768
2022-09-09 13:41:11.074326,ripperK,bpi15B,decl2,dwd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983050847457627,0.991452991452992,0.991525423728814,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:41:55.941184,ripperK,bpi15B,decl2,bs_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:42:43.795560,ripperK,bpi15B,decl2,mr_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:43:38.039529,ripperK,bpi15B,decl2,mra_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:44:58.354846,ripperK,bpi15B,decl2,tr_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 13:46:35.734453,ripperK,bpi15B,decl2,tra_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-10 02:21:18.960029,ripperK,bpi15B,decl2,dc_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
