timestamp,Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2,Prec_fold3,Rec_fold3,F1_fold3,AUC_fold3,Prec_fold4,Rec_fold4,F1_fold4,AUC_fold4,Prec_fold5,Rec_fold5,F1_fold5,AUC_fold5,Prec_fold6,Rec_fold6,F1_fold6,AUC_fold6,Prec_fold7,Rec_fold7,F1_fold7,AUC_fold7,Prec_fold8,Rec_fold8,F1_fold8,AUC_fold8,Prec_fold9,Rec_fold9,F1_fold9,AUC_fold9
2022-09-08 16:37:04.542247,ripperK,bpi15C,decl2,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:38:34.352050,ripperK,bpi15C,decl2,mr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:40:01.924869,ripperK,bpi15C,decl2,mra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:41:14.715502,ripperK,bpi15C,decl2,tr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:42:47.193441,ripperK,bpi15C,decl2,tra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 21:23:37.044242,ripperK,bpi15C,decl2,declare,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 03:01:21.554914,ripperK,bpi15C,decl2,hybrid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98936170212766,0.994652406417112,0.99468085106383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 03:01:49.647085,ripperK,bpi15C,decl2,payload,0.862068965517241,0.797872340425532,0.828729281767956,0.22181982797646,0.836538461538462,0.925531914893617,0.878787878787879,0.296740606609325,0.792079207920792,0.851063829787234,0.82051282051282,0.403802625622454,0.758620689655172,0.936170212765957,0.838095238095238,0.381507469443187,0.814814814814815,0.702127659574468,0.754285714285714,0.323789044816659,0.821052631578947,0.829787234042553,0.825396825396825,0.314169307378905,0.822916666666667,0.840425531914894,0.831578947368421,0.284178361249434,0.779816513761468,0.904255319148936,0.83743842364532,0.345744680851064,0.815533980582524,0.903225806451613,0.857142857142857,0.281025985663082,0.826086956521739,0.817204301075269,0.821621621621622,0.318691374971402
2022-09-09 03:02:35.293274,ripperK,bpi15C,decl2,dwd,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98936170212766,0.994652406417112,0.99468085106383,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 03:04:21.563728,ripperK,bpi15C,decl2,bs_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
