timestamp,Classifier,Dataset,Labelling,Encoding,Prec_fold0,Rec_fold0,F1_fold0,AUC_fold0,Prec_fold1,Rec_fold1,F1_fold1,AUC_fold1,Prec_fold2,Rec_fold2,F1_fold2,AUC_fold2,Prec_fold3,Rec_fold3,F1_fold3,AUC_fold3,Prec_fold4,Rec_fold4,F1_fold4,AUC_fold4,Prec_fold5,Rec_fold5,F1_fold5,AUC_fold5,Prec_fold6,Rec_fold6,F1_fold6,AUC_fold6,Prec_fold7,Rec_fold7,F1_fold7,AUC_fold7,Prec_fold8,Rec_fold8,F1_fold8,AUC_fold8,Prec_fold9,Rec_fold9,F1_fold9,AUC_fold9
2022-09-08 16:36:48.723682,ripperK,bpi15D,decl2,baseline,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:37:53.412821,ripperK,bpi15D,decl2,mr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:38:59.740014,ripperK,bpi15D,decl2,mra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:40:03.094192,ripperK,bpi15D,decl2,tr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 16:41:02.028353,ripperK,bpi15D,decl2,tra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-08 21:19:07.363157,ripperK,bpi15D,decl2,declare,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.986301369863014,1,0.993103448275862,0.984848484848485
2022-09-09 02:40:35.798023,ripperK,bpi15D,decl2,hybrid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 02:41:03.315613,ripperK,bpi15D,decl2,payload,0.893617021276596,0.575342465753425,0.7,0.296596097965961,0.872340425531915,0.561643835616438,0.683333333333333,0.329804898298049,0.9375,0.416666666666667,0.576923076923077,0.326797385620915,0.714285714285714,0.555555555555556,0.625,0.484427609427609,0.901960784313726,0.638888888888889,0.747967479674797,0.271043771043771,0.944444444444444,0.472222222222222,0.62962962962963,0.290824915824916,0.806451612903226,0.694444444444444,0.746268656716418,0.391414141414141,0.857142857142857,0.5,0.631578947368421,0.345959595959596,0.833333333333333,0.416666666666667,0.555555555555556,0.386994949494949,0.828125,0.736111111111111,0.779411764705882,0.354587542087542
2022-09-09 02:41:36.066002,ripperK,bpi15D,decl2,dwd,1,0.986301369863014,0.993103448275862,0.993150684931507,1,1,1,1,1,0.986111111111111,0.993006993006993,0.993055555555556,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 02:42:59.481324,ripperK,bpi15D,decl2,bs_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 02:44:40.586249,ripperK,bpi15D,decl2,mr_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 02:46:17.694677,ripperK,bpi15D,decl2,mra_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 02:47:52.201791,ripperK,bpi15D,decl2,tr_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 02:49:33.719620,ripperK,bpi15D,decl2,tra_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 06:49:49.869776,ripperK,bpi15D,decl2,dc_data,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022-09-09 10:56:42.220860,ripperK,bpi15D,decl2,dc_dwd_payload,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
