Dataset,IA,MR,TR,MRA,TRA,Declare,H,Data,DeclD,Data+IA,Data+MR,Data+MRA,Data+TR,Data+TRA,Data+Declare,Data+DeclD,Data+H,H+DeclD,H+Data+DeclD
traffic_decl3,0.8938622061130405,0.9953946201385178,0.8939083628379659,0.9991119864325182,0.8939083628379659,1.0,1.0,0.7173949592932602,0.9988178765089003,0.9113175510474585,0.9974814313687153,0.9997045790251107,0.9113175510474585,0.9113175510474585,1.0,1.0,1.0,1.0,1.0
traffic_mr_tr,0.547243263022687,0.9736350840812577,0.5472635244210291,0.9878454237668308,0.5472635244210291,1.0,1.0,0.8990804385781374,1.0,0.9897873534882592,0.9964655658200698,0.9999239929060046,0.9897873534882592,0.9897873534882592,1.0,1.0,1.0,1.0,1.0
traffic_mra_tra,0.8721731782072665,0.8759514517305208,0.872175563000317,0.8759514517305208,0.872175563000317,1.0,1.0,0.9087644800532573,1.0,0.9945954358093394,0.996525691672626,0.9965910365456748,0.9945954358093394,0.9945954358093394,1.0,1.0,1.0,1.0,1.0
traffic_payload_Art157,0.45237969447585896,0.4552039391978643,0.4706602015393207,0.4530454530356547,0.4706602015393207,0.5340173553317411,0.7577357040146984,0.9974942904655256,1.0,0.9980645769504457,0.9986504088211591,0.9985185323012897,0.9982108252469972,0.9980938852176807,0.9990020006274151,1.0,0.9988333096411081,1.0,1.0
traffic_payload_Pay36,0.2672173333662201,0.26677422670686973,0.26721974809848553,0.2666359292171168,0.26721974809848553,0.26685126224354044,0.8648963809975945,0.9977815238658241,0.9998613036780976,0.9980589239101944,0.9978509273191651,0.9979205160717749,0.9980589239101944,0.9980589239101944,0.9942974016985919,0.9998613036780976,0.9943668942011981,0.9998613036780976,0.9998613036780976
sepsis_decl,0.8680521476249231,0.9102500061217629,0.8561669759814305,0.9313226029163761,0.8340813362231907,0.9945941009502655,0.9959269406392695,0.6746886190169908,0.9592953950223464,0.8568108986353014,0.9029932094770489,0.9241237405571413,0.8457990720348926,0.8346378476280437,0.9959269406392695,0.9931105751709648,0.9959269406392695,0.9945190258751901,0.9945190258751901
sepsis_mr_tr,0.551937119443509,0.9981132075471699,0.9981132075471699,0.8112782432946677,0.9498731296627263,0.7781893399540314,0.9981132075471699,0.37741681657840337,0.6369471956614815,0.4329197914493047,0.9981132075471699,0.8212283365381214,0.9981132075471699,0.9558383332067543,0.9189958317544523,0.9217901890998933,0.9981132075471699,0.9981132075471699,0.9981132075471699
sepsis_mra_tra,0.9803380186052507,0.9813004444291114,0.9805588165933239,0.9682822590296105,0.9748162433781902,0.9944951039446452,0.9990825688073395,0.9455377912885166,0.9595334861892788,0.9748760559088163,0.9670491255786638,0.9691669133776653,0.9813322986721158,0.9786175478432115,0.9990825688073395,0.9981816679064386,0.9972642367137781,0.9972472472472471,0.9981816679064386
sepsis_payload2,0.252575300516477,0.16027583527583528,0.16330613830613827,0.2275865800865801,0.2542094017094017,0.2302197802197802,0.7656501831501831,0.9258541458541458,0.8903840603840605,0.9283516483516484,0.9283516483516484,0.9283516483516484,0.9283516483516484,0.9283516483516484,0.9846153846153847,0.9571428571428571,0.9569230769230769,0.946953046953047,0.956043956043956
bpi11_decl,0.6914126798187714,0.669538887743267,0.6882881202507037,0.6715733497414579,0.7199761214260395,1.0,1.0,0.5377825713303546,0.6319122859522677,0.6858762230358102,0.6579685926419518,0.6566433491635649,0.663763041678466,0.6841815395598791,1.0,1.0,1.0,1.0,1.0
